Cidade,Jan.,Fev.,Mar.,Abr.,Mai.,Jun.,Jul.,Ago.,Set.,Out.,Total.
ANTÔNIO PRADO DE MINAS, , , , , , , ,"38,34","129,37", ,"167,71"
ARAÇUAÍ,"787,89","858,34","1013623,67","25442,94","413,56","1321,89","4459,64","3589,41","5814,24","2219,82","1058531,4"
ARAGUARI,"27487,28","6874,48","11623,49","5554,28","7006,66","9342,04","11145,5","11787,31","12240,02","9802,19","112863,24"
ARAPORÃ,"918,61","57,56","49,58","74,03","61,55","70,58","77,73", ,"104,31", ,"1413,95"
ARAÚJOS,"759,07","1133,75","955,84","1135,16","1111,87","784,4","859,22","831,61","1038,95","643,87","9253,75"
ARAXÁ,"1075747,43","224074,93","838,78","918420,67","819603,6","859820,46","1992241,33","819197,64","920586,41","993508,9","8624040,14"
ARCEBURGO,"217,15","220,68",47,"96,93","107,9","687,97","50,3","681,29","2713,6","1635,92","6458,74"
ARCOS,477604,"573590,84","450971,32","468848,22","394220,44","427521,49","498506,01","578364,26","591677,29","664197,67","5125501,54"
ATALÉIA, , , , , , , , ,"542,7","606,22","1148,92"
AUGUSTO DE LIMA,"1882,34","1945,6","1925,96","1499,81","1826,37","1896,29","1743,94","1282,79","1625,08","1654,02","17282,2"
BAEPENDI, ,"760,89","254,72","519,1","149,11",39,"52,2", , ,"131,3","1906,33"
